### ТАБЛИЦА: store ###
city,store_location,store_name,store_number,store_id,address,zip_code,county_id
FORT DODGE,POINT(-94.153456 42.505334),WAL-MART 0886 / FORT DODGE,3592,200,3036 1ST AVE SOUTH,50501.0,55
BOONE,POINT(-93.880068 42.067645),CASEY'S GENERAL STORE #24 / BOONE,4664,201,1127 STORY,50036.0,44
TOLEDO,POINT(-92.579446 41.985985),TWIN TOWN LIQUOR,3942,202,104 HIGHWAY 30 WEST,52342.0,56
NORTH LIBERTY,POINT(-91.636952 41.751925),CASEY'S GENERAL STORE #2788 / NORTH LIBERTY,4500,203,595 N KANSAS AVE,52317.0,7
MELBOURNE,POINT(-93.100117 41.953843),RANDHAWA'S TRAVEL CENTER,4338,204,1659D MARSHALLTOWN BLVD,50162.0,18
CEDAR RAPIDS,POINT(-91.715903 41.97805),SMOKIN' JOE'S #15 TOBACCO AND LIQUOR OUTLET,5176,205,455 EDGEWOOD RD NW,52405.0,12
WELLSBURG,POINT(-92.925287 42.43855),CASEY'S GENERAL STORE #2526 / WELLSBURG,4657,206,308 N WASHINGTON,50680.0,57
WILTON,POINT(-91.034817 41.589962),WILTON EXPRESS,5040,207,1300 NICOLAUS ST,52778.0,49
OSKALOOSA,POINT(-92.648153 41.296228),CORK AND BOTTLE / OSKALOOSA,3990,208,309 A AVE WEST,52577.0,24
FAIRFIELD,POINT(-91.978702 41.006456),HY-VEE FOOD STORE / FAIRFIELD,2601,209,1300 WEST BURLINGTON AVE,52556.0,59
BALDWIN,POINT(-90.834314 42.073361),SUPER STOP & SHOP / BALDWIN,5737,210,5358 HWY 64,52207.0,60
NEW SHARON,POINT(-92.651525 41.468516),PRONTO MARKET  / NEW SHARON,5075,211,"202, S MAIN ST",50207.0,24
ROCK VALLEY,POINT(-96.294824 43.200164),PUMP N PAK,5446,212,1004 MAIN ST.,51247.0,30
PAULLINA,POINT(-95.68472 42.982805),CASEY'S GENERAL STORE #1365 / PAULLINA,4777,213,319 E GRAND AVE,51046.0,61
ESTHERVILLE,POINT(-94.822033 43.402229),CASEY'S GENERAL STORE #3034 / ESTHERVILLE,4774,214,"1615, CENTRAL AVE",51334.0,45
OSKALOOSA,POINT(-92.631487 41.296286),HOME TOWN WINE & SPIRITS,5633,215,1202 A AVE E,52577.0,24
DUBUQUE,POINT(-90.66784 42.50649),LIQUOR TOBACCO & GAS,5597,216,1401 CENTRAL AVE,52001.0,13
BETTENDORF,POINT(-90.48065 41.529655),LOT-A-SPIRITS,3952,217,3780 STATE ST,52722.0,5
FOREST CITY,POINT(-93.637202 43.248981),SID'S GAS AND GROCERIES,4453,218,"1116, HWY 69 SOUTH",50436.0,62
CEDAR RAPIDS,POINT(-91.553516 41.977177),CASEY'S GENERAL STORE # 2789/ CEDAR RAPIDS,5428,219,888 VERNON VALLEY DRIVE SE,52403.0,12
JOHNSTON,POINT(-93.70535596 41.688044999),CASEY'S GENERAL STORE #2816 / JOHNSTON,4505,220,6417 NORTHGLEN DR,50131.0,1
KNOXVILLE,POINT(-93.086255 41.318981),CASEY'S GENERAL STORE #3217 / KNOXVILLE,4817,221,"1201, E MAIN ST",50138.0,11
MARENGO,POINT(-92.074374 41.792953),PRIME STAR,5339,222,395 WESTERN AVENUE,52301.0,15
CEDAR RAPIDS,POINT(-91.706605401 41.964278287),"WILLIAMS BOULEVARD SERVICE, INC.",5073,223,"2601, WILLIAMS BLVD SW",52404.0,12
ROLAND,POINT(-93.50007 42.1664),CASEY'S GENERAL STORE #1398 / ROLAND,5582,224,201 E MAPLE,50236.0,36
GRINNELL,POINT(-92.727347 41.73523),CASEY'S GENERAL STORE #1527 / GRINNELL,5988,225,312 WEST ST,50112.0,63
CRESTON,POINT(-94.372568 41.066824),CASEY'S GENERAL STORE #3223 / CRESTON,4823,226,903 N SUMNER AVE,50801.0,27
CORALVILLE,POINT(-91.574095 41.671543),KEYSTONE LIQUOR,5870,227,517 2ND ST,52241.0,7
MAQUOKETA,POINT(-90.681439969 42.068018002),CASEY'S GENERAL STORE #2846 / MAQUOKETA,6031,228,104 WESTGATE DR,52060.0,60
URBANDALE,POINT(-93.736831 41.629333),HY-VEE C-STORE - DOUGLAS,2689,229,8607 DOUGLAS AVE,50322.0,1
CEDAR RAPIDS,POINT(-91.658073 41.923446),KUM & GO #508 / CEDAR RAPIDS,4566,230,30 FOUR OAKS DR SW,52404.0,12
CEDAR RAPIDS,POINT(-91.635028 42.013063),CASEY'S GENERAL STORE #2767 / CEDAR RAPIDS,4517,231,3434 1ST AVE NE,52402.0,12
MARION,POINT(-91.624929 42.032437),KUM & GO #509 / MARION,4605,232,1203 BLAIRS FERRY RD,52302.0,12
CEDAR RAPIDS,POINT(-91.655473 41.921351),IOWA SMOKE AND LIQUOR,5646,233,70 KIRKWOOD COURT SW,52404.0,12
COUNCIL BLUFFS,POINT(-95.80528 41.23195),CASEY'S GENERAL STORE #3205 / COUNCI,5035,234,19900 VIRGINIA HILLS RD,51503.0,10
CEDAR RAPIDS,POINT(-91.641223 42.046733),CASEY'S GENERAL STORE #2790 / CEDAR RAPIDS,5572,235,588 BOYSON RD NE #110,52402.0,12
DES MOINES,POINT(-93.652641 41.680392),CASEY'S GENERAL STORE #1901 / DES MOINES,5539,236,2541 NW 66TH AVE,50313.0,1
FORT MADISON,POINT(-91.361802 40.624094),CASEY'S GENERAL STORE #2319 / FT MADISON,5783,237,1428 38TH ST,52627.0,28
URBANDALE,POINT(-93.756964 41.632801),CASEY'S GENERAL STORE #2364 / URBANDALE,5935,238,3935 NW URBANDALE DR,50322.0,1
WATERLOO,POINT(-92.334641 42.501602),XO FOOD AND LIQUOR,4077,239,428 FRANKLIN ST,50703.0,9
DES MOINES,POINT(-93.697647 41.637408),PRICE CHOPPER  /  MERLE HAY #1315,5126,240,4343 MERLE HAY RD,50310.0,1
ALTOONA,POINT(-93.494642 41.65854),SUPER STOP 2 / ALTOONA,4819,241,2635 ADVENTURELAND DR,50009.0,1
AKRON,POINT(-96.56297 42.82309),CASEY'S GENERAL STORE #3648 / AKRON,5519,242,80 SOUTH ST,51001.0,25
WATERLOO,POINT(-92.322988 42.47658),PRIME MART #3 / WATERLOO,4910,243,1008 LAPORTE RD,50702.0,9
DES MOINES,POINT(-93.600993 41.526276),HY-VEE C-STORE / SE ARMY POST,2696,244,1113 SE ARMY POST RD,50315.0,1
NORTH LIBERTY,POINT(-91.606273 41.752793),WALGREENS #11710 / NORTH LIBERTY,5096,245,625 PACHA PARKWAY,52317.0,7
DUBUQUE,POINT(-90.742075998 42.517432013),HY-VEE FAST AND FRESH - DUBUQUE,2709,246,2435 NW ARTERIAL,52002.0,13
BETTENDORF,POINT(-90.498167 41.575178),BIG 10 MART #69,5716,247,2480 EAST 53RD,52722.0,5
IOWA CITY,POINT(-91.502717 41.649538),WALGREENS #05077 / IOWA CITY,4728,248,2214 MUSCATINE AVE,52240.0,7
WEST DES MOINES,POINT(-93.731469 41.571398),WALGREENS #06678 / WEST DES MOINES,4715,249,1999 GRAND AVE,50265.0,1
FAIRFIELD,POINT(-91.981752 41.006447),KUM & GO #134 / FAIRFIELD,4501,250,1601 W BURLINGTON AVE,52556.0,59
ANKENY,POINT(-93.600659 41.687793),CASEY'S GENERAL STORE #3075 / ANKENY,4767,251,6981 NE 14TH ST,50023.0,1
ALTA,POINT(-95.303734 42.675619),KIMMES COUNTRY STORE ALTA 05,4982,252,101 E  HWY 7,51002.0,22
MARION,POINT(-91.596312 42.033295),WALGREENS #03876 / MARION,4736,253,1225 7TH AVE,52302.0,12
CLARION,POINT(-94.194823 42.504085),CASEY'S GENERAL STORE #3052 / CLARION,4591,254,"222, CENTRAL AVE",50525.0,53
CEDAR RAPIDS,POINT(-91.619027 41.976807),CASEY'S GENERAL STORE #2772 / CEDAR RAPIDS,4491,255,3349 MT VERNON RD SE,52403.0,12
ANKENY,POINT(-93.60078 41.72912),CASEY'S GENERAL STORE #1659 / ANKENY,5877,256,302 S ANKENY BLVD,50023.0,1
NEWTON,POINT(-93.035654 41.699173),PIT STOP LIQUORS / NEWTON,4604,257,"1324, 1ST AVE E",50208.0,38
NORWALK,POINT(-93.674051 41.494857),KUM & GO #28 / NORWALK,4369,258,2992 SUNSET DR,50211.0,54
WAPELLO,POINT(-91.195863 41.185676),CASEY'S GENERAL STORE #2498 / WAPELLO,5583,259,710 HWY 61 N,52653.0,64
CEDAR FALLS,POINT(-92.407111 42.505909),TOBACCO OUTLET PLUS #561 / CEDAR FALLS,6116,260,4116 UNIVERSITY AVE  STE 104-105,50613.0,9
CEDAR FALLS,POINT(-92.420894 42.509791),CASEY'S GENERAL STORE #2630 / CEDAR FALLS,5780,261,5226 UNIVERSITY AVE,50613.0,9
HAZLETON,POINT(-91.905522 42.615596),PRONTO MARKET,4938,262,201 S MAIN ST,50641.0,65
MASON CITY,POINT(-93.201072 43.133204),YESWAY STORE # 10011/ MASON CITY,5280,263,1920 FEDERAL AVE S,50401.0,17
PLEASANT VALLEY,POINT(-90.42779 41.56774),EXPRESS LANE GAS & FOOD MART #79,5725,264,17948 GREAT RIVER RD,52767.0,5
BELMOND,POINT(-93.616821 42.84535),YESWAY STORE # 10034/ BELMOND,5302,265,112 RIVER AVE S,50421.0,53
WEST DES MOINES,POINT(-93.73162 41.571127),HY-VEE FOOD AND DRUG / GRAND / WDM,2521,266,1990 GRAND AVENUE,50265.0,1
ANKENY,POINT(-93.63896 41.7601),CASEY'S GENERAL STORE #3827- ANKENY,5845,267,3605 NW IRVINEDALE DRIVE,50023.0,1
MONTEZUMA,POINT(-92.52723 41.58587),CASEY'S GENERAL STORE #3309 / MONTEZ,5041,268,106 N FRONT ST,50171.0,63
VINTON,POINT(-92.025603 42.166166),FAREWAY STORES #462 / VINTON,4228,269,501 A AVE,52349.0,40
CRESTON,POINT(-94.372552 41.051462),HY-VEE FOOD STORE / CRESTON,2553,270,600 SHELDON,50801.0,27
URBANDALE,POINT(-93.734312 41.643829),FAREWAY STORES #933 / URBANDALE,4131,271,8450 MEREDITH DR,50322.0,1
OTTUMWA,POINT(-92.409169 41.051858),YESWAY STORE # 10012/ OTTUMWA,5301,272,2508 COURT ST N,52501.0,39
CRESCO,POINT(-92.125702 43.371147),CASEY'S GENERAL STORE # 2511/ CRESCO,5389,273,601 2ND AVE. S.W.,52136.0,66
WEST DES MOINES,POINT(-93.809458 41.567246),KUM & GO #74 / WEST DES MOINES,4373,274,141 S JORDAN CREEK PKWY,50266.0,1
WEST UNION,POINT(-91.806405 42.964219),CASEY'S GENERAL STORE #3452 / WEST U,5186,275,"102, E  BRADFORD ST",52175.0,67
NORTH LIBERTY,POINT(-91.608385 41.741097),FAREWAY STORES #993 / NORTH LIBERTY,4157,276,615 WESTWOOD DR   P.O BOX 96,52317.0,7
NEW HAMPTON,POINT(-92.317835 43.065235),CASEY'S GENERAL STORE #1416 / NEW HAMPTON,5605,277,615 N LINN AVE,50659.0,68
SHELBY,POINT(-95.45117 41.501),TAYLOR QUIK PIK - SHELBY,5858,278,12 EAST STREET,51570.0,10
FORT DODGE,POINT(-94.186138 42.506332),LIQUOR TOBACCO & GROCERY / FORT DODGE,4805,279,902 1ST AVE N,50501.0,69
ARNOLDS PARK,POINT(-95.13854 43.36305),CASEY'S GENERAL STORE #1315 / ARNOLDS PARK,5761,280,357 HWY 71 S,51331.0,26
BROOKLYN,POINT(-92.445853 41.7301),CASEY'S GENERAL STORE #3042 / BROOKLYN,4968,281,"106, W 2ND ST",52211.0,63
FAIRFIELD,POINT(-91.98309 41.00646),CASEY'S #4306 / FAIRFIELD,10089,282,1601 WEST BURLINGTON AVENUE,52556.0,59
WINFIELD,POINT(-91.43792 41.12993),CASEY'S GENERAL STORE #1550 / WINFIELD,5489,283,201 N LOCUST,52659.0,50
ANKENY,POINT(-93.58166 41.731869),KUM & GO #92 / ANKENY,4405,284,1025 E  1ST ST,50021.0,1
ADEL,POINT(-94.016796 41.61025),FAREWAY STORES #124 / ADEL,4678,285,804 NILE KINNICK DR,50003.0,6
COUNCIL BLUFFS,POINT(-95.879662 41.261925),HY-VEE FOOD STORE #1 / COUNCIL BLUFFS,2613,286,2323 W BROADWAY,51501.0,10
CEDAR FALLS,POINT(-92.42851 42.51302),HAPPY'S WINE & SPIRITS WHOLESALE,2201,287,5925 UNIVERSITY AVE,50613.0,9
CRESTON,POINT(-94.372786 41.047714),WAL-MART 1435 / CRESTON,3830,288,806 LAUREL ST,50801.0,27
GRINNELL,POINT(-92.730259 41.720919),WAL-MART 0647 / GRINNELL,3888,289,415 INDUSTRIAL AVE,50112.0,63
WEST BURLINGTON,POINT(-91.158407 40.813125),WAL-MART 0797 / W BURLINGTON,3562,290,324 WEST AGENCY RD,52655.0,2
CENTERVILLE,POINT(-92.867849 40.70856),WAL-MART 1621 / CENTERVILLE,4027,291,23148 HWY 5,52544.0,14
INDIANOLA,POINT(-93.555810989 41.373346989),WAL-MART 1491 / INDIANOLA,3651,292,1500 NORTH JEFFERSON,50125.0,54
DUBUQUE,POINT(-90.73647 42.489179),WAL-MART 2004 / DUBUQUE,3632,293,4200 DODGE ST,52003.0,13
AMES,POINT(-93.610343 42.017115),WAL-MART 4256 / AMES,4004,294,534 S DUFF AVE,50010.0,36
INDEPENDENCE,POINT(-91.892924 42.450709),WAL-MART 0750 / INDEPENDENCE,3859,295,302 ENTERPRISE DR SW,50644.0,65
KEOKUK,POINT(-91.407263 40.418589),WAL-MART 1431 / KEOKUK,3811,296,300 NORTH PARK DR,52632.0,28
WEST DES MOINES,POINT(-93.71325 41.590709),KUM & GO #8 / 8TH ST / WDM,4382,297,1293 8TH ST.,50265.0,1
ANAMOSA,POINT(-91.280185967 42.10851898),CASEY'S GENERAL STORE #2690 / ANAMOSA,5610,298,500 E MAIN ST,52205.0,48
DES MOINES,POINT(-93.56944 41.62835),HY-VEE FOOD STORE #2 (1138) / DES MOINES,2532,299,2540 E EUCLID,50317.0,1
OTTUMWA,POINT(-92.401538 41.026754),HY-VEE DRUGSTORE / OTTUMWA,2611,300,1140 NORTH JEFFERSON ST,52501.0,39
RICEVILLE,POINT(-92.55645 43.36381),CASEY'S GENERAL STORE #2874 / RICEVILLE,5620,301,208 W MAIN ST,50466.0,66
CHARITON,POINT(-93.308367 41.017872),CASEY'S GENERAL STORE #3032 / CHARITON,5964,302,335 N MAIN ST,50049.0,52
MARSHALLTOWN,POINT(-92.908013 42.050021),MARSHALL BEER WINE SPIRITS,5444,303,11 N 3RD AVE,50158.0,18
DAVENPORT,POINT(-90.561741 41.524926),RIVERSIDE LIQUOR,5198,304,826 E RIVER DR,52803.0,5

### ТАБЛИЦА: vendor ###
vendor_number,vendor_name,vendor_id
192,"MAST-JAGERMEISTER US, INC",1
305,MHW LTD,2
395,PROXIMO,3
259,HEAVEN HILL BRANDS,4
260,DIAGEO AMERICAS,5
370,PERNOD RICARD USA,6
266,EDRINGTON GROUP USA LLC,7
421,SAZERAC COMPANY  INC,8
115,CONSTELLATION BRANDS INC,9
55,SAZERAC NORTH AMERICA,10
380,PHILLIPS BEVERAGE,11
85,BROWN FORMAN CORP.,12
65,JIM BEAM BRANDS,13
125,CEDAR RIDGE VINEYARDS LL,14
184,FOUR ROSES DISTILLERY,15
434,LUXCO INC,16
619,CAMPARI AMERICA,17
297,LAIRD & COMPANY,18
300,MCCORMICK DISTILLING CO.,19
255,INFINIUM SPIRITS,20
154,DUNKEL CORPORATION / IOWA DISTILLING,21
306,MISSISSIPPI RIVER DISTIL,22
492,WESTERN SPIRITS BEVERAGE,23
35,BACARDI USA INC,24
357,PALM BAY INTERNATIONAL,25
240,WILLIAM GRANT & SONS INC,26
772,INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,27
420,MOET HENNESSY USA,28
277,STOLI GROUP,29
239,RUSSIAN STANDARD VODKA,30
205,E & J GALLO WINERY,31
626,JDSO INC / RED BOOT DISTILLERY,32
777,"BLUE OX SPIRITS, INC.",33
229,DEHNER DISTILLERY,34
566,"FOUNDRY DISTILLING COMPANY, LLC",36

### ТАБЛИЦА: item ###
item_id,item_description,category_id,pack,item_number,bottle_volume_ml
1,JAGERMEISTER LIQUEUR MINI MEISTERS,1,12,65259,20
2,RUMCHATA MINICHATAS SUMMER TUMBLER VAP,3,12,100794,25
3,JOSE CUERVO ESPECIAL SILVER W/1L CLASSIC MARGARITA MIX,3,6,643,750
4,CHRISTIAN BROS HOLIDAY NOG,3,12,2229,750
5,BUCHANAN DELUXE 12YR,4,12,4626,750
6,GLENLIVET 12YR,5,12,5036,750
7,GLENLIVET FOUNDERS RESERVE,5,12,5153,750
8,JOHNNIE WALKER RED,4,12,5346,750
9,MACALLAN 12 YR SINGLE MALT SCOTCH,5,12,5486,750
10,BLACK VELVET TOASTED CARAMEL,6,12,10550,750
11,CROWN ROYAL SALTED CARAMEL,3,12,10784,750
12,CROWN ROYAL VANILLA,6,12,10791,750
13,CROWN ROYAL PEACH,6,12,10802,750
15,CROWN ROYAL REGAL APPLE MINI,6,10,10803,300
16,CROWN ROYAL REGAL APPLE,6,24,10805,375
17,CROWN ROYAL REGAL APPLE,6,12,10807,750
18,CROWN ROYAL,6,24,11294,375
19,CROWN ROYAL,6,12,11296,750
20,SEAGRAMS VO CANADIAN WHISKEY,6,12,11346,750
21,BLACK VELVET,6,24,11774,375
22,BLACK VELVET,6,12,11776,750
23,BLACK VELVET PET,6,12,11786,750
25,CANADIAN LTD WHISKY PET,6,12,11936,750
26,CANADIAN LTD WHISKY,6,24,12404,375
27,RICH & RARE APPLE,6,12,12863,750
28,REVEL STOKE ROOT BEER,6,12,14490,750
29,REVEL STOKE SMOREGASM TOASTED SMORES WHISKY,6,12,14536,750
30,FINAGRENS IRISH WHISKEY,7,12,15582,750
31,JAMESON,7,12,15626,750
32,JAMESON,7,24,15644,375
33,JAMESON CASKMATES STOUT,7,12,15658,750
34,PADDY OLD IRISH WHISKEY,7,12,15818,750
35,PROPER NO. TWELVE,7,12,15830,750
36,EVAN WILLIAMS BOTTLED IN BOND,8,12,16096,750
37,OLD FORESTER SIGNATURE 100PRF BOURBON,9,12,16396,750
38,BASIL HAYDEN 8YR,9,6,16676,750
40,BASIL HAYDEN 10YR,3,6,16679,750
41,BULLEIT BOURBON,9,12,17086,750
42,CEDAR RIDGE BOURBON,9,6,17206,750
43,BARREL PROOF BOURBON WHISKEY,9,6,17207,750
44,ELIJAH CRAIG,9,12,17916,750
45,EVAN WILLIAMS STR BOURBON,9,12,17956,750
46,EVAN WILLIAMS 1783,10,12,18096,750
47,EVAN WILLIAMS BLACK PET,9,12,18116,750
48,FOUR ROSES SMALL BATCH,9,6,18348,750
49,FOUR ROSES SINGLE BARREL,11,6,18350,750
50,JIM BEAM BLACK,9,12,19026,750
51,JIM BEAM,9,24,19064,375
52,JIM BEAM,9,12,19066,750
53,JIM BEAM PET,9,12,19096,750
54,MAKERS MARK,9,12,19476,750
55,OLD FORESTER BOURBON 86PRF,9,12,20366,750
56,KENTUCKY TAVERN,9,12,20536,750
57,OLD TUB,8,12,20920,750
58,REBEL YELL KSBW 100PRF,9,6,21215,750
59,VERY OLD BARTON 6YR 100PRF,9,12,21806,750
60,WILD TURKEY 101,9,12,22156,750
61,WOODFORD RESERVE,9,12,22215,750
62,YELLOWSTONE SELECT,9,6,22244,750
63,BEAM'S 8 STAR BL WHISKEY,12,24,22784,375
65,FIVE STAR PET,12,12,23626,750
66,FIVE STAR,12,24,23824,375
67,FIVE STAR,12,12,23826,750
68,HAWKEYE BLENDED WHISKEY,12,12,24156,750
69,MCCORMICK BLEND WHISKEY,12,12,24706,750
70,SEAGRAMS 7 CROWN,12,12,25604,375
71,CEDAR RIDGE QUINTESSENTIAL AMERICAN SINGLE MALT,5,6,26474,750
72,ELIJAH CRAIG RYE,10,6,26555,750
73,GEORGE DICKEL #12,13,12,26656,750
74,JACK DANIELS OLD #7 BLACK LABEL FLAT,13,24,26820,375
75,JACK DANIELS OLD #7 BLACK LABEL,13,12,26826,750
77,BULLEIT 95 RYE,10,12,27025,750
78,JIM BEAM RYE,10,12,27056,750
79,OLD OVERHOLT RYE,10,12,27066,750
80,TEMPLETON 6YR RYE,10,6,27125,750
81,JIM BEAM MAPLE,9,12,27392,750
82,CEDAR RIDGE WHEAT WHISKEY,12,6,27464,750
83,PRAIRIE FIRE,12,12,27629,750
84,CODY ROAD SINGLE BARREL,11,6,27677,750
85,JIM BEAM KENTUCKY FIRE,12,12,27682,750
86,BIRD DOG APPLE,12,6,27697,750
87,JIM BEAM APPLE,9,12,27783,750
88,IOWA DISTILLING COMPANY STRAIGHT BOURBON WHISKEY,9,6,27832,750
89,JIM BEAM VANILLA,9,12,28043,750
90,BOMBAY SAPPHIRE GIN,14,12,28236,750
91,JIM BEAM PEACH,9,12,28279,750
92,BROKERS GIN,14,12,28350,750
93,DRUMSHANBO GUNPOWDER GIN,14,6,28465,750
94,HENDRICK'S GIN,14,6,28627,1000
95,ROKU GIN,14,6,28778,750
96,TANQUERAY SEVILLA ORANGE,14,12,28858,750
97,TANQUERAY GIN,14,12,28866,750
98,CALIBER GIN,15,12,29710,750
99,SEAGRAMS EXTRA DRY GIN MINI,15,12,32231,500
100,SEAGRAMS EXTRA DRY GIN,15,24,32234,375
101,SEAGRAMS EXTRA DRY GIN PET,15,12,32235,750
102,INDOGGO STRAWBERRY GIN,16,12,33110,750
103,ABSOLUT LIME MINI,17,10,33466,600
104,SVEDKA MANGO PINEAPPLE,17,12,33658,750
105,SVEDKA STRAWBERRY LEMONADE,17,12,33663,750
106,ABSOLUT SWEDISH VODKA 80PRF,18,12,34006,750
107,ABSOLUT APEACH,17,12,34014,750
108,ABSOLUT CITRON,17,12,34030,750
109,ABSOLUT PEARS,17,12,34036,750
110,ABSOLUT MANDRIN,17,12,34116,750
111,BELVEDERE VODKA,18,6,34162,1000
112,EFFEN VODKA,18,6,34188,750
113,GREY GOOSE,18,6,34422,1000
114,GREY GOOSE,18,12,34433,750
115,KETEL ONE CITROEN,17,12,34449,750
116,PEARL 80PRF,18,12,34546,750
117,PEARL POMEGRANATE,19,12,34702,750
118,STOLICHNAYA BLUEBERI,17,12,34786,750
119,SVEDKA 80PRF,20,12,34820,750
122,TANQUERAY STERLING VODKA,18,12,34856,750
123,STOLICHNAYA RAZBERI,17,12,34870,750
124,RUSSIAN STANDARD,18,12,35109,750
125,BARTON VODKA PET,20,12,35315,750
126,BARTON VODKA,20,12,35316,750
127,ABSOLUT MANGO,17,12,35354,750
128,BURNETTS VODKA 80PRF,20,12,35416,750
129,FIVE O'CLOCK VODKA,20,24,35914,375
130,FIVE O'CLOCK VODKA,20,12,35916,750
131,FIVE O'CLOCK VODKA PET,20,12,35926,750
133,FLEISCHMANNS 80PRF VODKA,20,24,35944,375
134,DEEP EDDY 80PRF,20,12,36122,750
135,HAWKEYE VODKA,20,24,36304,375
136,HAWKEYE VODKA PET,20,12,36305,750
138,HAWKEYE VODKA,20,12,36306,750
139,EFFEN BLOOD ORANGE,17,6,36468,750
140,DEEP EDDY ORANGE,19,12,36606,750
141,NEW AMSTERDAM RASPBERRY,19,12,36618,750
142,CALIBER VODKA,20,12,36648,750
143,ABSOLUT GRAPEFRUIT,17,12,36769,750
144,BLUE OX VODKA,20,12,36873,750
145,FOUNDRY VODKA,20,6,36878,750
146,MCCORMICK 80PRF VODKA,20,12,36886,750

### ТАБЛИЦА: county ###
county_number,county,county_id
77,POLK,1
29,DES MOINES,2
60,LYON,3
9,BREMER,4
82,SCOTT,5
25,DALLAS,6
52,JOHNSON,7
97,WOODBURY,8
7,BLACK HAWK,9
78,POTTAWATTAMIE,10
63,MARION,11
57,LINN,12
31,DUBUQUE,13
4,APPANOOSE,14
48,IOWA,15
15,CASS,16
17,CERRO GORDO,17
64,MARSHALL,18
23,CLINTON,19
20,CLARKE,20
47,IDA,21
11,BUENA VISTA,22
28,DELAWARE,23
62,MAHASKA,24
75,PLYMOUTH,25
30,DICKINSON,26
88,UNION,27
56,LEE,28
74,PALO ALTO,29
84,SIOUX,30
83,SHELBY,31
73,PAGE,32
36,FREMONT,33
14,CARROLL,34
66,MITCHELL,35
85,STORY,36
5,AUDUBON,37
50,JASPER,38
90,WAPELLO,39
6,BENTON,40
27,DECATUR,41
40,HAMILTON,42
92,WASHINGTON,43
8,BOONE,44
32,EMMET,45
55,KOSSUTH,46
69,MONTGOMERY,47
53,JONES,48
70,MUSCATINE,49
44,HENRY,50
24,CRAWFORD,51
59,LUCAS,52
99,WRIGHT,53
91,WARREN,54
42,HARDIN,55
86,TAMA,56
38,GRUNDY,57
46,HUMBOLDT,58
51,JEFFERSON,59
49,JACKSON,60
71,O'BRIEN,61
95,WINNEBAGO,62
79,POWESHIEK,63
58,LOUISA,64
10,BUCHANAN,65
45,HOWARD,66
33,FAYETTE,67
19,CHICKASAW,68
94,WEBSTER,69

### ТАБЛИЦА: datetime ###
date,year,day,date_id,month
2020-01-09,2020,9,1,1
2022-07-09,2022,9,2,7
2020-01-21,2020,21,3,1
2020-08-11,2020,11,4,8
2020-11-11,2020,11,5,11
2023-01-04,2023,4,6,1
2020-01-08,2020,8,7,1
2018-10-09,2018,9,8,10
2021-08-09,2021,9,9,8
2019-10-17,2019,17,10,10
2019-08-26,2019,26,11,8
2020-07-21,2020,21,12,7
2022-03-31,2022,31,13,3
2021-03-03,2021,3,14,3
2020-02-13,2020,13,15,2
2023-09-13,2023,13,16,9
2020-03-20,2020,20,17,3
2021-03-04,2021,4,18,3
2021-11-26,2021,26,19,11
2021-05-20,2021,20,20,5
2021-07-09,2021,9,21,7
2021-06-28,2021,28,22,6
2023-09-26,2023,26,23,9
2020-10-19,2020,19,24,10
2021-11-08,2021,8,25,11
2020-10-29,2020,29,26,10
2023-02-27,2023,27,27,2
2023-06-14,2023,14,28,6
2023-08-17,2023,17,29,8
2022-10-07,2022,7,30,10
2023-01-24,2023,24,31,1
2019-05-31,2019,31,32,5
2019-12-18,2019,18,33,12
2020-01-10,2020,10,34,1
2020-01-27,2020,27,35,1
2022-11-04,2022,4,36,11
2021-09-01,2021,1,37,9
2023-05-26,2023,26,38,5
2021-02-19,2021,19,39,2
2019-03-14,2019,14,40,3
2021-01-11,2021,11,41,1
2021-03-25,2021,25,42,3
2023-09-01,2023,1,43,9
2021-09-21,2021,21,44,9
2020-09-09,2020,9,45,9
2022-05-26,2022,26,46,5
2021-07-15,2021,15,47,7
2020-03-26,2020,26,48,3
2019-02-19,2019,19,49,2
2021-11-16,2021,16,50,11
2021-10-18,2021,18,51,10
2019-03-07,2019,7,52,3
2018-08-13,2018,13,53,8
2020-11-10,2020,10,54,11
2020-07-14,2020,14,55,7
2021-09-14,2021,14,56,9
2021-09-10,2021,10,57,9
2022-04-07,2022,7,58,4
2020-10-21,2020,21,59,10
2022-07-06,2022,6,60,7
2022-12-21,2022,21,61,12
2021-01-19,2021,19,62,1
2021-09-08,2021,8,63,9
2023-04-05,2023,5,64,4
2020-10-26,2020,26,65,10
2020-03-10,2020,10,66,3
2020-10-27,2020,27,67,10
2020-11-04,2020,4,68,11
2020-10-30,2020,30,69,10
2022-06-24,2022,24,70,6
2021-12-23,2021,23,71,12
2021-11-24,2021,24,72,11
2020-05-19,2020,19,73,5
2022-11-25,2022,25,74,11
2020-09-08,2020,8,75,9
2023-08-11,2023,11,76,8
2020-03-12,2020,12,77,3
2023-03-31,2023,31,78,3
2019-12-17,2019,17,79,12
2023-05-08,2023,8,80,5
2019-10-08,2019,8,81,10
2023-03-08,2023,8,82,3
2018-11-01,2018,1,83,11
2021-04-16,2021,16,84,4
2022-05-06,2022,6,85,5
2022-07-25,2022,25,86,7
2022-08-19,2022,19,87,8
2019-05-28,2019,28,88,5
2020-06-29,2020,29,89,6
