invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-43202000119,2021-12-23,2555,HY-VEE FOOD STORE / KEOKUK,3111 MAIN,KEOKUK,52632.0,POINT(-91.403673 40.415303),56,LEE,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-42329500004,2021-11-24,4254,FAREWAY STORES #849 / EMMETSBURG,2008  12TH ST,EMMETSBURG,50536.0,,74,PALO ALTO,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,11296,CROWN ROYAL,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-29382600024,2020-08-11,4255,FAREWAY STORES #058 / ORANGE CITY,512  8TH SE,ORANGE CITY,51041.0,,84,SIOUX,1012100.0,CANADIAN WHISKIES,421,SAZERAC COMPANY  INC,11346,SEAGRAMS VO CANADIAN WHISKEY,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-27352000016,2020-05-19,5421,YESWAY # 1009/ HARLAN,618 DURANT STREET,HARLAN,51537.0,POINT(-95.318597 41.656803),83,SHELBY,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-53370200014,2022-11-25,5816,CASEY'S GENERAL STORE #2916 / ALTOONA,170 36TH AVE SW,ALTOONA,50009.0,POINT(-93.50931 41.64919),,POLK,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-30032300024,2020-09-08,5326,ALS LIQUOR,215 W. MILWAUKEE AVE,STORM LAKE,50588.0,POINT(-95.202405 42.647492),11,BUENA VISTA,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-61159800001,2023-08-11,5831,CASEY'S GENERAL STORE #1828 / WEBSTER CITY,1300 2ND ST,WEBSTER CITY,50595,POINT(-93.835808967 42.469290007),,HAMILTON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,48,234.24,18.0,4.75
INV-25838800008,2020-03-12,5859,LIQUOR TOBACCO & GROCERY - MASON CITY,18 NORTH MONROE AVENUE,MASON CITY,50401.0,POINT(-93.208614 43.152301),17,CERRO GORDO,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-57150000002,2023-03-31,5557,CASEY'S GENERAL STORE #2014 / FORT DODGE,2206 2ND AVE N,FORT DODGE,50501.0,POINT(-94.16753 42.5084),,WEBSTER,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,48,234.24,18.0,4.75
INV-23997000010,2019-12-17,5171,GARY'S LIQUOR & WINE LTD,"110, E JEFFERSON ST",DELAWARE,52036,POINT(-91.344117 42.473764),28,DELAWARE,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-58220300003,2023-05-08,10125,BREW #54 / CEDAR RAPIDS,3301 J STREET SOUTHWEST,CEDAR RAPIDS,52404.0,POINT(-91.666314179 41.94469594),,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,48,234.24,18.0,4.75
INV-22402600010,2019-10-08,4558,KUM & GO #226 / SIOUX CITY,1373 PIERCE ST,SIOUX CITY,51105,POINT(-96.405013 42.504732),97,WOODBURY,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-56479000002,2023-03-08,4854,CASEY'S GENERAL STORE #3029 / ARMSTRONG,"307, S 4TH AVE",ARMSTRONG,50514.0,POINT(-94.48294 43.39274),,EMMET,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.25,4.88,48,234.24,18.0,4.75
INV-15426200023,2018-11-01,5251,NORTHSIDE LIQUOR,"1303, NORTH FEDERAL",MASON CITY,50401.0,POINT(-93.201061 43.163663),17,CERRO GORDO,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-35883700001,2021-04-16,4937,ROCSTOP,1310 W SHERIDAN AVE,SHENANDOAH,51601.0,POINT(-95.38464 40.765869),73,PAGE,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11774,BLACK VELVET,24,375,3.07,4.61,48,221.28,18.0,4.75
INV-47179400012,2022-05-06,4573,CASEY'S GENERAL STORE #1330 / HAMBURG,1211 WASHINGTON ST,HAMBURG,51640.0,POINT(-95.654604 40.605217),36,FREMONT,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-45221200004,2022-07-25,5028,MIDTOWN LIQUOR,1100 E 5TH ST,STORM LAKE,50588,POINT(-95.186938 42.644563),,BUENA VISTA,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-50513400004,2022-08-19,5269,LEFTY'S CONVENIENCE STORE INC,105 S MAIN AVE,ALBURNETT,52202,POINT(-91.618537 42.148),,LINN,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-19631200002,2019-05-28,5397,CASEY'S GENERAL STORE # 2774/AMANA,617 42ND AVE,AMANA,52203,POINT(-91.874686 41.801173),48,IOWA,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-28337000017,2020-06-29,4001,WAL-MART 1787 / CARROLL,2014 KITTY HAWK AVE,CARROLL,51401.0,POINT(-94.893501 42.081312),14,CARROLL,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-26354800005,2020-04-07,5378,CASEY'S GENERAL STORE # 2543/ ALBION,201 S MAIN ST.,ALBION,50005.0,POINT(-92.990038 42.110344),64,MARSHALL,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-14878100004,2018-10-05,4738,CASEY'S GENERAL STORE #2284 / COUNCIL BLUFFS,"1030, VETERAN MEMORIAL HWY",COUNCIL BLUFFS,51501,POINT(-95.860337 41.219703),78,POTTAWATTAMIE,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-33481700033,2021-01-15,5129,CASH SAVER  /  FLEUR,4121 FLEUR DR,DES MOINES,50321.0,POINT(-93.64492 41.546838),77,POLK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-24719000025,2020-01-21,4588,SAM'S MINI MART / SIOUX CITY,923 W 7TH ST,SIOUX CITY,51103.0,POINT(-96.419074 42.503495),97,WOODBURY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-15030700001,2018-10-15,5393,CASEY'S GENERAL STORE # 1799/ OSAGE,309 MAIN ST.,OSAGE,50461,POINT(-92.817696 43.28407),66,MITCHELL,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-47522800002,2022-05-17,4828,CASEY'S GENERAL STORE #3228 / MARSHALLTOWN,916 E MAIN ST,MARSHALLTOWN,50158.0,POINT(-92.896215 42.049237),64,MARSHALL,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-13995300015,2018-08-22,4674,KUM & GO #227 / AMES,2108 ISAAC NEWTON DR,AMES,50010,POINT(-93.585891 42.009586),85,STORY,1012100.0,CANADIAN WHISKIES,115.0,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-30806900016,2020-10-06,4523,CASEY'S GENERAL STORE #2563 / EXIRA,312 W WASHINGTON ST,EXIRA,50076.0,POINT(-94.879847 41.591142),5,AUDUBON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-20161800007,2019-06-24,2568,HY-VEE FOOD STORE #4 / CEDAR RAPIDS,1556 FIRST AVENUE NE,CEDAR RAPIDS,52402,POINT(-91.650755 41.988967),57,LINN,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-18075800067,2019-03-12,2527,HY-VEE FOOD STORE #5 / DES MOINES,1107 SE ARMY POST RD,DES MOINES,50315,POINT(-93.602372 41.526289),77,POLK,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-18049200019,2019-03-11,3889,WAL-MART 1005 / WAVERLY,700  29 ST SW,WAVERLY,50677,POINT(-92.478899 42.700321),9,BREMER,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-46024300061,2022-03-30,6285,CASEY'S #3954 / NEWTON,4343 SOUTH 15TH AVE EAST,NEWTON,50208.0,,50,JASPER,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-29767500004,2020-08-26,5300,YESWAY STORE # 10013/ OTTUMWA,534 CHURCH ST,OTTUMWA,52501.0,POINT(-92.418553 41.009435),90,WAPELLO,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-27480600005,2020-05-26,5726,EHLINGER'S VINTON EXPRESS,310 K AVENUE SOUTH,VINTON,52349.0,POINT(-92.037532 42.168297),6,BENTON,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-39354900018,2021-08-19,3663,WAL-MART 1496 / WATERLOO,1334 FLAMMANG DR,WATERLOO,50702.0,POINT(-92.330801 42.460238),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-38813800005,2021-07-30,4782,CASEY'S GENERAL STORE #2529 / LAMONI,406 E MAIN ST,LAMONI,50140.0,POINT(-93.92909 40.62366),27,DECATUR,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-26025700036,2020-03-20,2507,HY-VEE FOOD STORE #1 / BURLINGTON,939 ANGULAR,BURLINGTON,52601.0,POINT(-91.110752 40.801889),29,DES MOINES,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-61949600005,2023-09-06,5445,CASEY'S GENERAL STORE # 2781/ IOWA CITY,1410 WILLOW CREEK DR.,IOWA CITY,52246,POINT(-91.560034161 41.641961337),,JOHNSON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.5,8.25,24,198.0,18.0,4.75
INV-51273500011,2022-09-16,4575,CASEY'S GENERAL STORE #2304 / SLATER,200 6TH AVE,SLATER,50244,POINT(-93.679675 41.877859),,STORY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-48373400008,2022-06-15,3390,OKOBOJI AVENUE LIQUOR,1610 OKOBOJI AVENUE,MILFORD,51351,POINT(-95.149955 43.331525),30,DICKINSON,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-19278200002,2019-05-10,5350,CASEY'S GENERAL STORE # 3562/ MARION,680 LINDALE DR.,MARION,52302,POINT(-91.621476 42.033645),57,LINN,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-14306700001,2018-09-07,5296,YESWAY STORE # 10021/ WEBSTER CITY,1102 2ND ST,WEBSTER CITY,50595,POINT(-93.831461 42.469524),40,HAMILTON,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-23510000011,2019-11-26,5619,CASEY'S GENERAL STORE #3041 / ELK RUN HEIGHTS,5202 LAFAYETTE RD,EVANSDALE,50707,POINT(-92.257902 42.469069),7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-29297200005,2020-08-07,4136,FAREWAY STORES #983 / GRIMES,351 GATEWAY DR,GRIMES,50111.0,,77,POLK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-23956000048,2019-12-16,3618,WAL-MART 2716 / CEDAR RAPIDS,3601 29TH AVE SW,CEDAR RAPIDS,52404,POINT(-91.718042 41.949215),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-34931300007,2021-03-11,4315,FAREWAY STORES #554 / WASHINGTON,301 NORTH MARION AVE,WASHINGTON,52353.0,POINT(-91.692985 41.301967),92,WASHINGTON,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11776,BLACK VELVET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-45697000023,2022-03-18,2505,HY-VEE WINE AND SPIRITS / BOONE,1111  8TH ST,BOONE,50036.0,POINT(-93.876107 42.063831),8,BOONE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-30833000006,2020-10-07,4854,CASEY'S GENERAL STORE #3029 / ARMSTRONG,"307, S 4TH AVE",ARMSTRONG,50514.0,POINT(-94.483108 43.39274),32,EMMET,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-28250400012,2020-06-24,5513,RICHMOND & FERRY BP,720 RICHMOND AVE,OTTUMWA,52501.0,POINT(-92.432517 41.007272),90,WAPELLO,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-46171300005,2022-04-04,6283,KIMMES CARROLL COUNTRY STORE 1 / CARROLL,1511 US 71,CARROLL,51401,POINT(-94.87861 42.075224),14,CARROLL,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-25798600030,2020-03-11,2585,HY-VEE WINE AND SPIRITS / ALGONA,1502 HIGHWAY 169 N SUITE 1,ALGONA,50511.0,POINT(-94.235955 43.08091),55,KOSSUTH,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-15005400002,2018-10-11,3831,THE MARKET OF MADRID,301 ANNEX RD,MADRID,50156,POINT(-93.815365 41.87894),8,BOONE,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11786,BLACK VELVET TRAVELER,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-29135900020,2020-07-31,2518,HY-VEE WINE AND SPIRITS / RED OAK,1607 NORTH BROADWAY,RED OAK,51566.0,POINT(-95.83539 41.279189),69,MONTGOMERY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-35037000008,2021-03-15,5190,GUPPY'S ON THE GO / WALFORD,200 HWY 151 E,WALFORD,52351.0,POINT(-91.828571 41.881821),57,LINN,1012100.0,CANADIAN WHISKIES,259.0,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-18980300017,2019-04-25,4730,WALGREENS #05944 / JOHNSTON,6200 MERLE HAY RD,JOHNSTON,50131,POINT(-93.697684 41.673355),77,POLK,1012100.0,CANADIAN WHISKIES,115,CONSTELLATION BRANDS INC,11786,BLACK VELVET TRAVELER,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-62663300002,2023-09-26,5612,CASEY'S GENERAL STORE #66 / LAPORTE CITY,402 HWY 218 N,LA PORTE CITY,50651,POINT(-92.196899965 42.318655011),,BLACK HAWK,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.5,8.25,24,198.0,18.0,4.75
INV-53610600015,2022-12-02,4183,FAREWAY STORES #589 / DECORAH,103 E MAIN,DECORAH,52101.0,POINT(-91.78528 43.30329),,WINNESHIEK,1012100,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-46776900019,2022-04-22,5581,CASEY'S GENERAL STORE #2488 / N ENGLISH,504 S MAIN ST,NORTH ENGLISH,52316,POINT(-92.076463 41.51122),48,IOWA,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,11786,BLACK VELVET PET,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-41635600012,2021-11-04,6147,BANI'S / CEDAR FALLS,2128 COLLEGE ST,CEDAR FALLS,50613.0,,7,BLACK HAWK,1012100.0,CANADIAN WHISKIES,421,SAZERAC COMPANY  INC,11936,CANADIAN LTD WHISKY PET,12,750,4.34,6.51,24,138.0,18.0,4.75
INV-18116500016,2019-03-13,4558,KUM & GO #226 / SIOUX CITY,1373 PIERCE ST,SIOUX CITY,51105,POINT(-96.405013 42.504732),97,WOODBURY,1012100.0,CANADIAN WHISKIES,55,SAZERAC NORTH AMERICA,12404,CANADIAN LTD WHISKY,24,375,2.05,3.08,48,147.84,18.0,4.75
INV-31093600025,2020-10-16,5236,"GIGGLE JUICE LIQUOR STATION, LLC",600 W MAIN ST,ANAMOSA,52205.0,POINT(-91.290834 42.108203),53,JONES,1012100.0,CANADIAN WHISKIES,421,SAZERAC COMPANY  INC,12863,RICH & RARE APPLE,12,750,5.0,7.5,24,180.0,18.0,4.75
INV-26220600005,2020-03-31,5458,R&L FOODS,213 MAIN ST.,DOON,51235.0,POINT(-96.234214 43.279316),60,LYON,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14490,REVEL STOKE ROOT BEER,12,750,8.34,12.51,24,300.24,18.0,4.75
INV-48691800022,2022-06-27,2573,HY-VEE FOOD STORE / MUSCATINE,2400 2ND AVE,MUSCATINE,52761,POINT(-91.035301 41.450849),70,MUSCATINE,1012100.0,CANADIAN WHISKIES,380,PHILLIPS BEVERAGE,14536,REVEL STOKE SMOREGASM TOASTED SMORES WHISKY,12,750,9.02,13.53,24,324.72,18.0,4.75
INV-51821100087,2022-10-05,2622,HY-VEE FOOD STORE / IOWA CITY,1125 N DODGE ST,IOWA CITY,52240,POINT(-91.518868 41.676095),,JOHNSON,1012400.0,IRISH WHISKIES,380,PHILLIPS BEVERAGE,15582,FINAGRENS IRISH WHISKEY,12,750,10.07,15.11,24,362.64,18.0,4.75
INV-55001100088,2023-01-17,2665,HY-VEE / WAUKEE,1005 E HICKMAN RD,WAUKEE,50263,POINT(-93.85433 41.61507),,DALLAS,1012400.0,IRISH WHISKIES,380,PHILLIPS BEVERAGE,15582,FINAGRENS IRISH WHISKEY,12,750,10.07,15.11,24,362.64,18.0,4.75
INV-16308200087,2018-12-13,2593,HY-VEE FOOD STORE / CARROLL,905 US HIGHWAY 30 WEST,CARROLL,51401.0,POINT(-94.853591 42.064155),14,CARROLL,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15626,JAMESON,12,750,15.99,23.99,24,575.76,18.0,4.75
INV-27933900114,2020-06-12,2635,HY-VEE #4 / DAVENPORT,4064 E 53RD ST,DAVENPORT,52807.0,POINT(-90.513769 41.574973),82,SCOTT,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15626,JAMESON,12,750,16.49,24.74,24,593.76,18.0,4.75
INV-25755700002,2020-03-10,2575,HY-VEE FOOD STORE #1 / WATERLOO,2834 ANSBOROUGH AVE,WATERLOO,50702.0,POINT(-92.376624 42.471767),7,BLACK HAWK,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,16.49,24.74,24,593.76,18.0,4.75
INV-45259800013,2022-03-03,3877,TARGET STORE T-2041 / DES MOINES,5901 DOUGLAS AVE,DES MOINES,50322.0,POINT(-93.699818 41.62953),77,POLK,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15626,JAMESON,12,750,16.99,25.49,24,611.76,18.0,4.75
INV-15468400013,2018-11-05,2673,HY-VEE # 6/ DES MOINES,420 COURT AVE,DES MOINES,50309.0,POINT(-93.622454 41.584842),77,POLK,1012400.0,IRISH WHISKIES,370.0,PERNOD RICARD USA,15626,JAMESON,12,750,15.99,23.99,24,575.76,18.0,4.75
INV-29624000057,2020-08-20,5251,NORTHSIDE LIQUOR,1303 NORTH FEDERAL,MASON CITY,50401.0,POINT(-93.201061 43.163663),17,CERRO GORDO,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15644,JAMESON,24,375,7.1,10.65,48,511.2,18.0,4.75
INV-41974000258,2021-11-15,6242,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,375 SOUTH JORDAN CREEK PARKWAY,WEST DES MOINES,50266.0,POINT(-93.809473 41.563571),25,DALLAS,1012400.0,IRISH WHISKIES,370,PERNOD RICARD USA,15658,JAMESON CASKMATES STOUT,12,750,16.49,24.74,24,593.76,18.0,4.75
INV-43673900001,2022-01-11,2190,"CENTRAL CITY LIQUOR, INC.",1460 2ND AVE,DES MOINES,50314.0,POINT(-93.619788 41.605706),77,POLK,1012400.0,IRISH WHISKIES,421,SAZERAC COMPANY  INC,15818,PADDY OLD IRISH WHISKEY,12,750,10.0,15.0,24,360.0,18.0,4.75
INV-34062800045,2021-02-05,3944,SAM'S CLUB 4973 / DUBUQUE,4400 ASBURY RD,DUBUQUE,52002.0,POINT(-90.737821 42.515289),31,DUBUQUE,1012400.0,IRISH WHISKIES,395.0,PROXIMO,15830,PROPER NO. TWELVE,12,750,14.0,21.0,24,504.0,18.0,4.75
INV-46060300006,2022-03-30,2513,HY-VEE FOOD STORE #2 / IOWA CITY,812 S 1ST AVE,IOWA CITY,52240.0,,52,JOHNSON,1011500.0,BOTTLED IN BOND BOURBON,259,HEAVEN HILL BRANDS,16096,EVAN WILLIAMS BOTTLED IN BOND,12,750,10.0,15.0,24,360.0,18.0,4.75
INV-30056200007,2020-09-09,2535,HY-VEE FOOD STORE #1 / WDM,1700 VALLEY WEST DR,WEST DES MOINES,50265.0,,77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,85.0,BROWN FORMAN CORP.,16396,OLD FORESTER SIGNATURE 100PRF BOURBON,12,750,11.8,17.7,24,424.8,18.0,4.75
INV-28234000010,2020-06-24,3420,SAM'S CLUB 6344 / WINDSOR HEIGHTS,1101  73RD ST,WINDSOR HEIGHTS,50311.0,POINT(-93.718027 41.599172),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65.0,JIM BEAM BRANDS,16676,BASIL HAYDEN 8YR,6,750,21.0,31.5,24,756.0,18.0,4.75
INV-42549200024,2021-12-03,4829,CENTRAL CITY 2,1501 MICHIGAN AVE,DES MOINES,50314.0,POINT(-93.61374 41.605828),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,16676,BASIL HAYDEN 8YR,12,750,22.5,33.75,24,810.0,18.0,4.75
INV-32992000128,2020-12-24,2603,HY-VEE WINE AND SPIRITS / BETTENDORF,2890 DEVILS GLEN ROAD,BETTENDORF,52722.0,POINT(-90.483701 41.552338),82,SCOTT,1011200.0,STRAIGHT BOURBON WHISKIES,65,JIM BEAM BRANDS,16676,BASIL HAYDEN 8YR,6,750,21.0,31.5,24,756.0,18.0,4.75
INV-56141000023,2023-02-23,6242,WALL TO WALL WINE AND SPIRITS / WEST DES MOINES,375 SOUTH JORDAN CREEK PARKWAY,WEST DES MOINES,50266.0,POINT(-93.80947 41.56373),,DALLAS,1701100,TEMPORARY & SPECIALTY PACKAGES,65,JIM BEAM BRANDS,16679,BASIL HAYDEN 10YR,6,750,38.5,57.75,24,1386.0,18.0,4.75
INV-28206000001,2020-06-23,3663,WAL-MART 1496 / WATERLOO,1334 FLAMMANG DR,WATERLOO,50702.0,POINT(-92.330801 42.460238),7,BLACK HAWK,1011200.0,STRAIGHT BOURBON WHISKIES,260.0,DIAGEO AMERICAS,17086,BULLEIT BOURBON,12,750,16.5,24.75,24,594.0,18.0,4.75
INV-33570100022,2021-01-19,2666,HY-VEE FOOD STORE #2 / STATE ANKENY,2510 SW STATE ST,ANKENY,50023.0,POINT(-93.621824 41.705188),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,260.0,DIAGEO AMERICAS,17086,BULLEIT BOURBON,12,750,16.5,24.75,24,594.0,18.0,4.75
INV-29111400029,2020-07-30,3385,SAM'S CLUB 8162 / CEDAR RAPIDS,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402.0,POINT(-91.67969 42.031819),57,LINN,1011200.0,STRAIGHT BOURBON WHISKIES,260,DIAGEO AMERICAS,17086,BULLEIT BOURBON,12,750,16.5,24.75,24,594.0,18.0,4.75
INV-36404500072,2021-05-06,2626,HY-VEE DRUGSTORE / UNIVERSITY / DSM,4100 UNIVERSITY AVE,DES MOINES,50311.0,POINT(-93.673222 41.600361),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,260.0,DIAGEO AMERICAS,17086,BULLEIT BOURBON,12,750,16.5,24.75,24,594.0,18.0,4.75
INV-14851300029,2018-10-04,2633,HY-VEE #3 / BDI / DES MOINES,3221 SE 14TH ST,DES MOINES,50320,POINT(-93.596754 41.554101),77,POLK,1011200.0,STRAIGHT BOURBON WHISKIES,125,CEDAR RIDGE VINEYARDS LL,17206,CEDAR RIDGE BOURBON,6,750,18.1,27.15,24,651.6,18.0,4.75
