invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-42371900008,2021-11-26,2524,HY-VEE FOOD STORE / DUBUQUE,3500 DODGE ST,DUBUQUE,52001.0,,31,DUBUQUE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-36806800008,2021-05-20,2621,HY-VEE FOOD STORE #3 / SIOUX CITY,3301 GORDON DR,SIOUX CITY,51105.0,POINT(-96.364108 42.487752),97,WOODBURY,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-38217000009,2021-07-09,4472,QUICK SHOP FOODS / CENTERVILLE,1023 SOUTH MAIN,CENTERVILLE,52544.0,POINT(-92.874182 40.724175),4,APPANOOSE,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-37877300003,2021-06-28,5397,CASEY'S GENERAL STORE # 2774/AMANA,617 42ND AVE,AMANA,52203.0,POINT(-91.874686 41.801173),48,IOWA,1012100.0,CANADIAN WHISKIES,259,HEAVEN HILL BRANDS,10550,BLACK VELVET TOASTED CARAMEL,12,750,5.23,7.85,24,188.4,18.0,4.75
INV-62687400001,2023-09-26,6190,HAWKS LIQUOR & TOBACCO / CORALVILLE,2425 2ND STREET,CORALVILLE,52241,POINT(-91.600443903 41.684719562),,JOHNSON,1701100.0,TEMPORARY & SPECIALTY PACKAGES,260,DIAGEO AMERICAS,10784,CROWN ROYAL SALTED CARAMEL,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-31117800010,2020-10-19,2528,HY-VEE FOOD STORE #3 / DES MOINES,3221 SE 14TH ST,DES MOINES,50315.0,,77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-41741600008,2021-11-08,3871,TARGET STORE T-0069 / WDM,1800  35TH ST,WEST DES MOINES,50266.0,POINT(-93.751998 41.598813),77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,16.59,24.89,24,597.36,18.0,4.75
INV-31484400023,2020-10-29,2548,HY-VEE FOOD STORE / ALTOONA,100 8TH STREET SW,ALTOONA,50009.0,POINT(-93.465301 41.644041),77,POLK,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10791,CROWN ROYAL VANILLA,12,750,15.59,23.39,24,561.36,18.0,4.75
INV-56218000005,2023-02-27,2597,HY-VEE FOOD STORE / CHEROKEE,1300 N. SECOND,CHEROKEE,51012.0,POINT(-95.55262 42.76552),,CHEROKEE,1012100,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18.0,4.75
INV-59419300002,2023-06-14,3949,WAL-MART 0751 / PELLA,1650 WASHINGTON ST,PELLA,50219.0,POINT(-92.933577976 41.412726008),,MARION,1012100.0,CANADIAN WHISKIES,260,DIAGEO AMERICAS,10802,CROWN ROYAL PEACH,12,750,17.49,26.24,24,629.76,18.0,4.75
