Дата,Магазин,Код_товара,Количество,Сумма
2022-05-06,CASEY'S GENERAL STORE #1330 / HAMBURG,INV-47179400012,24,188.4
2022-05-06,MEGA SAVER,INV-47185500016,48,244.32
2022-05-11,HY-VEE WINE AND SPIRITS / IOWA CITY,INV-47324700004,24,359.76
2022-05-12,HAPPY'S WINE & SPIRITS,INV-47374800146,24,252.0
2022-05-17,CASEY'S GENERAL STORE #3228 / MARSHALLTOWN,INV-47522800002,24,188.4
2022-05-17,WALGREENS #05077 / IOWA CITY,INV-47508600032,24,120.24
2022-05-26,HY-VEE FOOD STORE #2 / STATE ANKENY,INV-47801900002,24,629.76
2022-06-15,OKOBOJI AVENUE LIQUOR,INV-48373400008,24,188.4
2022-06-16,CASEY'S GENERAL STORE #1901 / DES MOINES,INV-48410500005,48,133.92
2022-06-16,TOBACCO OUTLET PLUS #561 / CEDAR FALLS,INV-48407800022,24,120.24
2022-06-24,HY-VEE #1044 / BURLINGTON,INV-48657600082,24,629.76
2022-06-24,CASEY'S GENERAL STORE #3032 / CHARITON,INV-48678000024,24,122.88
2022-06-27,HY-VEE FOOD STORE / MUSCATINE,INV-48691800022,24,324.72
2022-06-30,KUM & GO #8 / 8TH ST / WDM,INV-48829000021,24,122.88
2022-07-05,HY-VEE FOOD STORE #3 / CEDAR RAPIDS,INV-48893000092,24,121.44
2022-07-06,HY-VEE FOOD STORE / OSCEOLA,INV-48949100046,24,629.76
2022-07-09,WESTLAND FAST BREAK,INV-49060000007,1,8.45
2022-07-11,HY-VEE #4 / WDM,INV-49076200094,24,359.76
2022-07-15,CENTRAL CITY 2,INV-49233800023,24,828.0

Итого,,,9469,105856.91
