Дата,Магазин,Код_товара,Количество,Сумма
2019-06-20,HY-VEE FOOD STORE / JOHNSTON,INV-20113000005,24,121.44
2019-06-21,NEW STAR / KNOXVILLE,INV-20151400014,24,297.12
2019-06-24,HY-VEE FOOD STORE #4 / CEDAR RAPIDS,INV-20161800007,24,188.4
2019-06-26,HY-VEE WINE AND SPIRITS / IOWA CITY,INV-20235600082,48,133.92
2019-07-03,HY-VEE # 6/ DES MOINES,INV-20383300045,24,121.44
2019-07-19,SMOKIN' JOE'S #10 TOBACCO AND LIQUOR OUTLET,INV-20726300073,24,120.24
2019-07-26,SMOKIN' JOE'S #10 TOBACCO AND LIQUOR OUTLET,INV-20870100058,24,126.0
2019-07-29,KUM & GO #508 / CEDAR RAPIDS,INV-20913100027,48,133.92
2019-08-01,SAM'S CLUB 8162 / CEDAR RAPIDS,INV-20976100041,24,594.0
2019-08-12,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,INV-21165800063,24,120.24
2019-08-14,YESWAY STORE # 10012/ OTTUMWA,INV-21235700004,24,120.24
2019-08-22,CENTRAL CITY 2,INV-21413900110,24,252.0
2019-08-26,HY-VEE WINE AND SPIRITS / WDM,INV-21464900121,24,1259.76
2019-08-29,SYCAMORE CONVENIENCE,INV-21587400015,24,126.0
2019-09-20,KUM & GO #509 / MARION,INV-22040400019,48,133.92
2019-09-24,HY-VEE / WAUKEE,INV-22088200083,24,378.0
2019-09-25,HOME TOWN WINE & SPIRITS,INV-22139900035,24,121.44
2019-09-30,CASEY'S GENERAL STORE #3042 / BROOKLYN,INV-22215800010,24,120.24
2019-10-08,KUM & GO #226 / SIOUX CITY,INV-22402600010,48,221.28
2019-10-08,HY-VEE WINE AND SPIRITS / HARLAN,INV-22387800016,24,378.0
2019-10-08,HY-VEE FOOD STORE / CEDAR FALLS,INV-22404900006,24,413.76
2019-10-11,CASEY'S GENERAL STORE #24 / BOONE,INV-22456400001,24,121.44
2019-10-17,HY-VEE #2 / CORALVILLE,INV-22606500019,24,486.0
2019-10-22,SUPER STOP 2 / ALTOONA,INV-22734600019,24,120.24
2019-11-04,PRIME STAR,INV-22997000004,48,133.92
2019-11-04,WAL-MART 1787 / CARROLL,INV-23000600036,24,119.28
2019-11-21,HY-VEE / PLEASANT HILL,INV-23390500005,24,359.76
2019-11-23,HY-VEE FOOD STORE #1 / BURLINGTON,INV-23410800036,24,121.44
2019-11-26,CASEY'S GENERAL STORE #3041 / ELK RUN HEIGHTS,INV-23510000011,24,188.4
2019-12-03,KUM & GO #226 / SIOUX CITY,INV-23654100012,48,133.92
2019-12-09,IOWA SMOKE AND LIQUOR,INV-23768600002,48,133.92
2019-12-10,WAL-MART 1005 / WAVERLY,INV-23795800009,24,486.0
2019-12-11,HY-VEE FOOD AND DRUG / GRAND / WDM,INV-23828400051,24,120.24
2019-12-11,WAL-MART 1431 / KEOKUK,INV-23851300043,24,119.28
2019-12-13,SUPER STOP & SHOP / BALDWIN,INV-23917300003,24,121.44
2019-12-16,WAL-MART 2716 / CEDAR RAPIDS,INV-23956000048,24,188.4
2019-12-17,GARY'S LIQUOR & WINE LTD,INV-23997000010,48,221.28
2019-12-17,SAM'S MINI MART / SIOUX CITY,INV-23995000020,48,133.92
2019-12-18,NEW STAR / PELLA,INV-24020900011,48,576.0
2019-12-26,YESWAY STORE # 10034/ BELMOND,INV-24163000002,24,120.24
2019-12-30,HY-VEE FOOD STORE #4 / CEDAR RAPIDS,INV-24252800018,24,120.24
2020-01-08,HY-VEE #4 / WDM,INV-24422600097,24,881.28
2020-01-10,JIFFY EXPRESS / MARTENSDALE,INV-24489000007,24,561.36
2020-01-14,HY-VEE / WAVERLY,INV-24544100021,24,504.0
2020-01-21,SAM'S MINI MART / SIOUX CITY,INV-24719000025,24,188.4
2020-01-27,HY-VEE FOOD STORE #5 / DES MOINES,INV-24803800103,24,561.36
2020-01-31,QUICK MART / HIAWATHA,INV-24945400016,24,126.0
2020-01-31,WAL-MART 1621 / CENTERVILLE,INV-24956000021,24,119.28
2020-02-04,HY-VEE FOOD STORE #4 / SIOUX CITY,INV-25022500055,24,486.0
2020-02-06,WALGREENS #00359 / DES MOINES,INV-25065700013,24,147.36
2020-02-07,WAL-MART 3150 / COUNCIL BLUFFS,INV-25094600019,24,378.0
2020-02-13,SYCAMORE CONVENIENCE,INV-25218500014,24,243.12
2020-02-13,HY-VEE DRUGSTORE / UNIVERSITY / DSM,INV-25213500019,24,115.2
2020-02-19,POINT LIQUOR & TOBACCO,INV-25325300002,24,486.0
2020-03-03,SAM'S CLUB 6514 / WATERLOO,INV-25590700050,24,819.12
2020-03-06,CASEY'S GENERAL STORE #3223 / CRESTON,INV-25677300001,48,133.92
2020-03-10,WAL-MART 1625 / LEMARS,INV-25741300003,24,561.36
2020-03-10,HY-VEE FOOD STORE #1 / WATERLOO,INV-25755700002,24,593.76
2020-03-10,CASEY'S GENERAL STORE #1416 / NEW HAMPTON,INV-25773900019,24,120.24
2020-03-11,HY-VEE WINE AND SPIRITS / ALGONA,INV-25798600030,24,188.4
2020-03-12,LIQUOR TOBACCO & GROCERY - MASON CITY,INV-25838800008,48,221.28
2020-03-20,HY-VEE FOOD STORE #1 / BURLINGTON,INV-26025700036,24,188.4
2020-03-24,FAREWAY STORES #993 / NORTH LIBERTY,INV-26099300019,24,120.24
2020-03-24,WAL-MART 0750 / INDEPENDENCE,INV-26091200035,24,119.28
2020-03-31,R&L FOODS,INV-26220600005,24,300.24
2020-04-03,CASEY'S GENERAL STORE #3217 / KNOXVILLE,INV-26312500002,48,133.92
2020-04-07,CASEY'S GENERAL STORE # 2543/ ALBION,INV-26354800005,24,188.4
2020-04-07,CASEY'S GENERAL STORE #2788 / NORTH LIBERTY,INV-26377800006,24,121.44
2020-04-10,HY-VEE C-STORE / SE ARMY POST,INV-26438900011,24,120.24
2020-04-15,WAL-MART 3762 / WDM,INV-26574500065,24,315.12
2020-04-24,NORTH SIDE LIQUOR & TOBACCO / DUBUQUE,INV-26796400022,48,139.2
2020-04-27,HY-VEE FOOD STORE / MUSCATINE,INV-26860700047,24,378.0
2020-05-05,HY-VEE / WAVERLY,INV-27027100072,24,486.0
2020-05-05,TWIN TOWN LIQUOR,INV-27020000001,24,121.44
2020-05-08,PETRO STOP - NEWTON,INV-27098300020,24,297.12
2020-05-15,WAL-MART 0797 / W BURLINGTON,INV-27267300070,24,119.28
2020-05-19,YESWAY # 1009/ HARLAN,INV-27352000016,48,221.28
2020-05-19,CASEY'S GENERAL STORE #3041 / ELK RUN HEIGHTS,INV-27359100002,24,162.0
2020-05-21,WALGREENS #00359 / DES MOINES,INV-27406100007,24,147.36
2020-05-26,EHLINGER'S VINTON EXPRESS,INV-27480600005,24,188.4
2020-05-28,SAM'S CLUB 6344 / WINDSOR HEIGHTS,INV-27538200054,24,540.0
2020-05-28,SUPER SAVER IV,INV-27543600087,24,378.0
2020-05-28,KEYSTONE LIQUOR,INV-27555300035,48,133.92
2020-06-02,CASEY'S GENERAL STORE #2630 / CEDAR FALLS,INV-27665900005,24,120.24
2020-06-04,XO FOOD AND LIQUOR,INV-27720500019,48,133.92
2020-06-11,CYCLONE LIQUORS,INV-27908000019,24,396.0
2020-06-12,HY-VEE #4 / DAVENPORT,INV-27933900114,24,593.76
2020-06-12,CASEY'S GENERAL STORE #1065 / ASBURY,INV-27958000002,24,121.44
2020-06-23,WAL-MART 1496 / WATERLOO,INV-28206000001,24,594.0
2020-06-24,RICHMOND & FERRY BP,INV-28250400012,24,188.4
2020-06-24,SAM'S CLUB 6344 / WINDSOR HEIGHTS,INV-28234000010,24,756.0
2020-06-29,WAL-MART 1787 / CARROLL,INV-28337000017,24,188.4
2020-07-07,WAL-MART 0647 / GRINNELL,INV-28537100020,24,119.28
2020-07-08,BENZ DISTRIBUTING,INV-28565500015,24,762.24
2020-07-09,HY-VEE / WAUKEE,INV-28590200071,24,297.12
2020-07-14,HY-VEE / WAUKEE,INV-28692200011,24,561.36
2020-07-15,WAL-MART 1393 / OSKALOOSA,INV-28728600020,24,119.28
2020-07-16,HILLSTREET NEWS AND TOBACCO,INV-28771400048,24,252.0
2020-07-21,TOBACCO HUT #11 / SIOUX CITY,INV-28890400005,24,243.12
2020-07-30,SAM'S CLUB 8162 / CEDAR RAPIDS,INV-29111400029,24,594.0
2020-07-31,HY-VEE WINE AND SPIRITS / RED OAK,INV-29135900020,24,188.4
2020-08-03,CENTRAL CITY 2,INV-29165300047,24,415.44
2020-08-07,CASEY'S GENERAL STORE #2364 / URBANDALE,INV-29296100001,48,133.92
2020-08-07,CASEY'S GENERAL STORE #2498 / WAPELLO,INV-29313400010,24,120.24
2020-08-11,LIQUOR AND TOBACCO OUTLET /,INV-29396200023,24,398.64
2020-08-11,PUMP N PAK,INV-29384600010,24,121.44
2020-08-11,PIT STOP LIQUORS / NEWTON,INV-29408900009,24,120.24
2020-08-14,SAM'S CLUB 4973 / DUBUQUE,INV-29485000046,18,614.34
2020-08-18,HY-VEE / WAVERLY,INV-29556000137,24,378.0
2020-08-18,HY-VEE FOOD STORE / URBANDALE,INV-29538600043,24,359.76
2020-08-20,NORTHSIDE LIQUOR,INV-29624000057,48,511.2
2020-08-21,HY-VEE FOOD STORE / MOUNT PLEASANT,INV-29640500093,24,560.64
2020-08-25,CASEY'S GENERAL STORE # 2511/ CRESCO,INV-29727700018,24,120.24
2020-08-26,YESWAY STORE # 10013/ OTTUMWA,INV-29767500004,24,188.4
2020-08-26,CASEY'S GENERAL STORE #3075 / ANKENY,INV-29751300015,24,120.24
2020-08-31,LOT-A-SPIRITS,INV-29857300001,24,306.0
2020-09-04,BIG 10 MART #69,INV-29980400012,24,120.24
2020-09-08,ALS LIQUOR,INV-30032300024,48,221.28
2020-09-09,FAREWAY STORES #014 / SERGEANT BLUFF,INV-30074800005,24,561.36
2020-09-15,HY-VEE FOOD STORE #2 / STATE ANKENY,INV-30226000034,24,582.24
2020-10-06,CASEY'S GENERAL STORE #2563 / EXIRA,INV-30806900016,24,188.4
2020-10-07,CASEY'S GENERAL STORE #3029 / ARMSTRONG,INV-30833000006,24,188.4
2020-10-08,WAL-MART 2827 / CORALVILLE,INV-30854500032,24,115.68
2020-10-09,CENTRAL CITY 2,INV-30877100007,24,378.0
2020-10-14,HY-VEE WINE AND SPIRITS / PELLA,INV-31017500102,24,327.36
2020-10-14,KUM & GO #134 / FAIRFIELD,INV-31019600006,24,120.24
2020-10-16,"GIGGLE JUICE LIQUOR STATION, LLC",INV-31093600025,24,180.0
2020-10-16,CHARITON BP,INV-31113400012,24,486.0
2020-10-16,HY-VEE WINE AND SPIRITS / BOONE,INV-31067400088,24,378.0
2020-10-16,WALGREENS #03876 / MARION,INV-31092700012,24,120.24
2020-10-20,CASEY'S GENERAL STORE #1527 / GRINNELL,INV-31185200008,48,133.92
2020-10-21,WAL-MART 1393 / OSKALOOSA,INV-31222000003,24,561.36
2020-10-21,PRONTO MARKET  / NEW SHARON,INV-31227400010,24,121.44
2020-10-26,FAREWAY STORES #008 / DYERSVILLE,INV-31372800003,24,561.36
2020-10-27,HY-VEE FOOD STORE / SIOUX CITY,INV-31412600122,24,561.36
2020-10-27,CASEY'S GENERAL STORE #2526 / WELLSBURG,INV-31405800007,24,121.44
2020-10-29,HY-VEE FOOD STORE / ALTOONA,INV-31484400023,24,561.36
2020-10-29,PRIME MART / CEDAR FALLS,INV-31499100010,24,561.36
2020-10-30,FAREWAY STORES #597 / CRESTON,INV-31540800007,24,561.36
2020-11-03,PRIME MART #3 / WATERLOO,INV-31641200006,24,120.24
2020-11-04,WAL-MART 1415 / SPIRIT LAKE,INV-31655800003,24,561.36
2020-11-04,SUPER QUICK STOP - COUNCIL BLUFFS,INV-31680900013,24,121.44
2020-11-10,GARY'S LIQUOR & WINE LTD,INV-31821100006,24,561.36
2020-11-10,CITY LIQUOR / IOWA CITY,INV-31833000001,24,315.12
2020-11-10,SAM'S MINI MART / SIOUX CITY,INV-31830100003,24,119.28
2020-11-12,CASEY'S GENERAL STORE # 2789/ CEDAR RAPIDS,INV-31888700002,48,133.92
2020-11-12,HY-VEE FOOD STORE / ALTOONA,INV-31883100002,24,118.8
2020-11-27,CASEY'S GENERAL STORE #1680 / ADEL,INV-32253500001,24,121.44
2020-12-02,CORK AND BOTTLE / OSKALOOSA,INV-32376200001,24,121.44
2020-12-16,HY-VEE #7 / CEDAR RAPIDS,INV-32793400073,24,120.24
2020-12-21,HY-VEE DRUGSTORE #6 / CEDAR RAPIDS,INV-32871200015,24,360.0
2020-12-21,FAREWAY STORES #462 / VINTON,INV-32879600037,24,120.24
